"clave_mun","mun","ageb","indice","pob3mas","pob12mas","sin_disc","escolaridad","ocupados","salud","fecundidad","hacinamiento","piso","energia","agua","tinaco","escusado","drenaje","refri","lavadora","auto","celular","internet"
120,"Zapopan","657A",1.06212127661588,2912,2643,0.911744505494505,15,0.609912977676882,0.874656593406593,1.54,0.49,0.983677910772579,0.997823721436344,0.998911860718172,0.958650707290533,0.996735582154516,0.995647442872688,0.995647442872688,0.993471164309032,0.978237214363438,0.991294885745375,0.981501632208923
120,"Zapopan","6584",0.0694905666337538,1875,1550,0.9104,9.92,0.672903225806452,0.6096,1.9,1.04,0.984158415841584,1,0.996039603960396,0.817821782178218,0.998019801980198,0.998019801980198,0.964356435643564,0.831683168316832,0.562376237623762,0.952475247524752,0.605940594059406
120,"Zapopan","6599",1.39813944465616,1260,1222,0.997619047619048,12.05,0.524549918166939,1.00714285714286,0.49,0.88,0.957446808510638,1,1,1,1,1,1,0.978723404255319,0.808510638297872,1,0.723404255319149
120,"Zapopan","6601",0.762837015691045,270,206,1.0037037037037,13.4,0.466019417475728,1.01111111111111,1.38,0.93,0.958904109589041,1,1,1,1,0.986301369863014,1,1,0.821917808219178,1,0.89041095890411
120,"Zapopan","6616",0.311670062543825,112,85,0.866071428571429,11.77,0.529411764705882,0.875,1.6,1.06,1,1,1,0.896551724137931,0.96551724137931,1,0.96551724137931,0.931034482758621,0.551724137931034,1,0.758620689655172
120,"Zapopan","6620",0.218645656094533,2800,2366,0.829642857142857,10.51,0.671174978867287,0.693571428571429,1.9,0.93,0.989556135770235,1,1,0.89556135770235,1,1,0.972584856396867,0.872062663185379,0.631853785900783,0.949086161879896,0.72845953002611
120,"Zapopan","6635",0.37991830092213,3195,2659,0.926447574334898,11.26,0.672809326814592,0.738654147104851,1.8,0.93,0.988469601677149,1,0.9979035639413,0.948637316561845,1,1,0.981132075471698,0.882599580712788,0.643605870020964,0.976939203354298,0.720125786163522
120,"Zapopan","664A",0.98052650087716,3036,2694,0.912055335968379,15.13,0.618782479584261,0.858695652173913,1.54,0.56,0.994850669412976,1,1,0.715756951596292,1,0.997940267765191,1,0.991761071060762,0.983522142121524,0.998970133882595,0.98043254376931
120,"Zapopan","6705",-0.0292599249183172,2912,2384,0.857142857142857,9.1,0.670302013422819,0.650755494505495,2.14,1.1,0.975773889636608,0.994616419919246,0.991924629878869,0.881561238223419,0.987886944818304,0.995962314939435,0.963660834454912,0.839838492597577,0.562584118438762,0.947510094212651,0.61507402422611
120,"Zapopan","671A",0.0469648814308229,4084,3355,0.868021547502449,9.84,0.659612518628912,0.648383937316356,2.1,1,0.975092250922509,0.998154981549816,0.996309963099631,0.874538745387454,0.996309963099631,0.998154981549816,0.964022140221402,0.842250922509225,0.547970479704797,0.95479704797048,0.645756457564576
120,"Zapopan","6724",0.602822703942508,2942,2473,0.841264445955133,12.87,0.677315002021836,0.765805574439157,1.62,0.85,0.995321637426901,0.99766081871345,0.998830409356725,0.954385964912281,0.998830409356725,0.998830409356725,0.981286549707602,0.941520467836257,0.83625730994152,0.987134502923977,0.833918128654971
120,"Zapopan","6739",1.00808580552787,2343,2164,0.944088775074691,14.65,0.583641404805915,0.878361075544174,1.49,0.58,0.987878787878788,1,1,0.892424242424242,1,1,1,0.996969696969697,0.989393939393939,0.993939393939394,0.983333333333333
120,"Zapopan","6743",-2.51018465972719,2875,2476,0.963826086956522,14.28,0.580775444264943,0.898782608695652,1.15,0.67,0.560377358490566,0.561635220125786,0.561635220125786,0.440880503144654,0.561635220125786,0.561635220125786,0.559119496855346,0.547798742138365,0.515723270440252,0.556603773584906,0.535849056603774
120,"Zapopan","6758",-3.5703941433729,2334,2074,0.958440445586975,14.22,0.5824493731919,0.847043701799486,1.43,0.63,0.434093789607098,0.437896070975919,0.437896070975919,0.373257287705957,0.437262357414449,0.437896070975919,0.437262357414449,0.430291508238276,0.423320659062104,0.435994930291508,0.429657794676806
120,"Zapopan","6762",0.933850645913648,2930,2661,0.96962457337884,14.7,0.553551296505073,0.903754266211604,1.53,0.63,0.952201257861635,1,1,0.877987421383648,1,1,1,0.99622641509434,0.983647798742138,0.988679245283019,0.986163522012579
120,"Zapopan","6777",-1.94286826268007,3390,3020,0.963126843657817,14.63,0.572516556291391,0.921533923303835,1.5,0.56,0.630171865054106,0.631444939528962,0.632081476766391,0.507320178230427,0.632081476766391,0.632081476766391,0.631444939528962,0.627625716104392,0.62062380649268,0.62444302991725,0.618714194780395
120,"Zapopan","6781",0.982806643844716,741,636,1,14.18,0.531446540880503,0.738191632928475,1.4,0.59,0.990521327014218,1,1,0.966824644549763,1,1,1,1,0.981042654028436,1,0.976303317535545
120,"Zapopan","6796",1.01662444617239,1432,1289,1.01117318435754,14.64,0.541505042668735,0.860335195530726,1.42,0.65,0.995073891625616,1,1,0.960591133004926,1,1,1,0.997536945812808,0.980295566502463,0.995073891625616,0.997536945812808
120,"Zapopan","6809",1.00891478350194,2228,2021,0.983842010771993,14.59,0.553686293913904,0.763464991023339,1.41,0.57,1,1,1,0.911353032659409,1,1,1,0.992223950233281,0.981337480559876,0.995334370139969,0.984447900466563
120,"Zapopan","6813",1.13058308930087,2470,2038,0.993117408906883,15.02,0.63297350343474,0.954251012145749,1.3,0.6,0.994630872483221,1,1,0.844295302013423,0.998657718120805,1,0.995973154362416,0.993288590604027,0.977181208053691,0.994630872483221,0.991946308724832
120,"Zapopan","6828",1.03221615218641,1832,1581,0.973799126637555,14.8,0.562934851359899,0.959061135371179,1.44,0.61,0.98828125,1,1,0.798828125,1,1,1,1,0.98828125,1,1
120,"Zapopan","6832",0.630986850836473,5745,5028,0.91644908616188,12.41,0.671241050119332,0.805744125326371,1.47,0.91,0.997106481481482,1,1,0.987268518518518,1,0.999421296296296,0.988425925925926,0.918981481481482,0.730324074074074,0.982060185185185,0.859953703703704
120,"Zapopan","6847",-0.0477757305723639,2018,1633,0.922695738354807,9.14,0.688303735456216,0.609018830525273,2.01,1.14,0.979323308270677,1,1,0.731203007518797,1,1,0.953007518796993,0.800751879699248,0.50187969924812,0.951127819548872,0.584586466165414
120,"Zapopan","6851",0.0617308904945186,780,633,0.873076923076923,9.49,0.696682464454976,0.68974358974359,2.07,1.14,0.966666666666667,1,0.995238095238095,0.847619047619048,1,1,0.971428571428571,0.838095238095238,0.628571428571429,0.961904761904762,0.576190476190476
120,"Zapopan","6866",-0.250289681885712,856,712,0.940420560747664,8.37,0.629213483146067,0.602803738317757,2.06,1.14,0.962962962962963,1,1,0.828703703703704,0.962962962962963,0.981481481481482,0.916666666666667,0.791666666666667,0.453703703703704,0.930555555555556,0.49537037037037
120,"Zapopan","6870",0.180940192377878,916,786,0.87117903930131,10.98,0.642493638676845,0.625545851528384,2.03,0.97,0.984189723320158,1,1,0.889328063241107,1,1,0.972332015810277,0.877470355731225,0.652173913043478,0.928853754940711,0.743083003952569
120,"Zapopan","6885",0.402117371901201,5192,4289,0.949537750385208,10.99,0.706691536488692,0.742103235747304,1.66,1,0.990322580645161,1,0.999354838709677,0.926451612903226,0.998709677419355,0.999354838709677,0.981935483870968,0.874193548387097,0.629677419354839,0.972903225806452,0.738709677419355
120,"Zapopan","689A",0.142608905583178,4099,3316,0.917540863625274,10.25,0.634499396863691,0.713832642107831,1.87,1.1,0.972602739726027,0.997260273972603,0.997260273972603,0.783561643835616,0.997260273972603,0.993607305936073,0.967123287671233,0.858447488584475,0.611872146118721,0.965296803652968,0.693150684931507
120,"Zapopan","6902",0.714224236290399,4240,3721,0.912971698113208,12.85,0.690405804891158,0.827358490566038,1.38,0.79,0.992063492063492,0.998015873015873,0.999338624338624,0.887566137566138,0.998677248677249,0.998677248677249,0.986772486772487,0.916005291005291,0.794312169312169,0.981481481481482,0.867063492063492
120,"Zapopan","6917",0.683310257150543,1770,1541,0.967231638418079,12.07,0.696301103179753,0.858757062146893,1.38,0.79,0.986111111111111,0.996913580246914,0.996913580246914,0.930555555555556,0.996913580246914,0.996913580246914,0.983024691358025,0.936728395061728,0.790123456790123,0.91820987654321,0.839506172839506
120,"Zapopan","6921",0.751473876270346,1348,1089,0.956231454005935,13.71,0.745638200183655,0.879821958456973,1.5,0.78,1,1,1,0.382687927107062,1,1,0.995444191343964,0.945330296127563,0.87243735763098,0.997722095671982,0.851936218678816
120,"Zapopan","7008",0.906728282061239,1560,1255,0.94551282051282,14.41,0.756972111553785,0.88974358974359,1.25,0.77,0.998214285714286,1,1,0.471428571428571,1,1,0.996428571428571,0.948214285714286,0.932142857142857,0.994642857142857,0.9
120,"Zapopan","7012",1.0488500803931,3021,2640,0.986428334988414,15.12,0.739772727272727,0.857000993048659,0.92,0.67,0.996458923512748,1,1,0.344192634560907,1,0.997167138810198,0.99929178470255,0.855524079320113,0.924220963172805,0.990084985835694,0.94971671388102
120,"Zapopan","7027",1.01503830242205,1042,884,0.993282149712092,14.67,0.6210407239819,0.85700575815739,1.47,0.67,1,1,1,0.905362776025237,1,1,1,0.993690851735016,0.990536277602524,0.996845425867508,0.974763406940063
120,"Zapopan","7031",0.89793667237667,1086,883,0.968692449355433,14.49,0.801812004530011,0.92817679558011,1.19,0.73,1,1,1,0.0402010050251256,1,1,0.99748743718593,0.954773869346734,0.912060301507538,0.99748743718593,0.881909547738693
120,"Zapopan","7046",0.853068366584753,1213,1066,0.943940643033801,13.85,0.581613508442777,0.78318219291014,1.52,0.69,1,1,1,0.97275204359673,1,1,1,0.967302452316076,0.948228882833787,0.980926430517711,0.956403269754768
120,"Zapopan","7050",0.923527069105214,479,406,0.945720250521921,14.41,0.578817733990148,0.807933194154488,1.44,0.73,1,1,1,0.929078014184397,1,1,1,1,0.978723404255319,1,0.978723404255319
120,"Zapopan","7065",1.14896818926752,889,731,1.0044994375703,15.49,0.882352941176471,0.925759280089989,1.22,0.62,0.991202346041056,1,1,0.24633431085044,1,1,0.997067448680352,0.973607038123167,0.991202346041056,0.997067448680352,0.973607038123167
120,"Zapopan","707A",0.885461558616699,525,451,0.931428571428571,14.79,0.720620842572062,0.918095238095238,1.22,0.73,1,1,1,0.243781094527363,1,1,1,0.935323383084577,0.955223880597015,0.995024875621891,0.915422885572139
120,"Zapopan","7084",1.04133827276478,101,84,0.99009900990099,14.7,0.630952380952381,0.841584158415842,1.34,0.69,1,1,1,0.838709677419355,1,1,1,1,1,1,1
120,"Zapopan","7099",1.06200576372998,1089,891,0.975206611570248,14.96,0.687991021324355,0.901744719926538,1.29,0.66,0.991643454038997,1,1,0.724233983286908,1,1,1,0.988857938718663,0.98050139275766,0.988857938718663,0.98050139275766
120,"Zapopan","7101",1.03162837698192,573,468,1.02094240837696,14.85,0.724358974358974,0.797556719022688,1.28,0.74,1,1,1,0.74331550802139,1,1,1,0.973262032085562,0.962566844919786,0.994652406417112,0.973262032085562
120,"Zapopan","7116",0.893870170088066,1280,1073,0.94140625,14.4,0.59645852749301,0.7984375,1.49,0.69,0.994722955145119,1,1,0.897097625329815,1,1,1,0.989445910290237,0.973614775725594,0.978891820580475,0.973614775725594
120,"Zapopan","7120",0.725744561060054,1905,1504,0.952755905511811,13.66,0.767952127659574,0.846194225721785,1.48,0.83,0.987341772151899,0.996835443037975,0.995253164556962,0.54746835443038,1,0.990506329113924,0.987341772151899,0.936708860759494,0.887658227848101,0.985759493670886,0.846518987341772
120,"Zapopan","7135",0.979017641678915,857,730,1.00233372228705,14.34,0.615068493150685,0.933488914819137,1.52,0.7,1,1,1,0.787072243346008,1,1,1,0.996197718631179,0.980988593155893,0.996197718631179,0.973384030418251
120,"Zapopan","714A",1.06504511284076,1374,1154,0.980349344978166,14.71,0.62738301559792,0.923580786026201,1.26,0.64,1,1,1,0.655097613882863,1,1,1,0.995661605206074,0.991323210412148,1,0.991323210412148
120,"Zapopan","7154",0.690996982857593,238,203,0.819327731092437,13.69,0.645320197044335,0.878151260504202,1.74,0.76,1,1,1,0.8125,1,0.984375,1,0.96875,0.875,0.984375,0.953125
120,"Zapopan","7169",0.982745138292872,280,237,1.01785714285714,15.19,0.586497890295359,0.864285714285714,1.23,0.77,1,1,1,0.779069767441861,1,1,1,0.988372093023256,0.988372093023256,0.976744186046512,0.906976744186046
120,"Zapopan","7188",NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
120,"Zapopan","7205",-0.159171953132633,1009,801,0.892963330029732,8.23,0.702871410736579,0.453914767096135,2.33,1,0.978339350180505,1,0.985559566787004,0.891696750902527,0.996389891696751,0.996389891696751,0.96028880866426,0.808664259927798,0.693140794223827,0.909747292418773,0.350180505415162
120,"Zapopan","721A",NA,0,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
120,"Zapopan","7258",1.01671690409413,29,23,0.896551724137931,14.86,0.608695652173913,1.03448275862069,1.6,0.57,1,1,1,0.666666666666667,1,1,1,1,1,1,1
120,"Zapopan","7262",1.13044909154314,173,139,1.0635838150289,15.01,0.705035971223022,1.04046242774566,1.36,0.54,1,1,1,0.160714285714286,1,1,1,1,1,0.982142857142857,1
120,"Zapopan","7277",1.06550906577978,1196,992,1.0066889632107,15.62,0.640120967741935,0.924749163879599,1.33,0.66,1,1,1,0.672727272727273,1,1,1,0.98961038961039,0.979220779220779,0.984415584415584,0.98961038961039
120,"Zapopan","7281",NA,255,204,0.937254901960784,6.38,0.622549019607843,0.494117647058824,2.54,1.63,0.443037974683544,0.987341772151899,0.962025316455696,0.278481012658228,0.924050632911392,0.974683544303797,0.772151898734177,0.278481012658228,0.0886075949367089,0.89873417721519,NA
120,"Zapopan","7296",-1.21039358893234,587,440,1.01022146507666,6.93,0.693181818181818,0.321976149914821,2.24,1.64,0.715151515151515,1,0.981818181818182,0.624242424242424,0.854545454545454,0.987878787878788,0.83030303030303,0.503030303030303,0.36969696969697,0.933333333333333,0.0606060606060606
120,"Zapopan","7309",-0.964521329362775,1688,1310,0.925355450236967,7.7,0.736641221374046,0.433056872037915,2.21,1.46,0.762443438914027,0.981900452488688,0.929864253393665,0.493212669683258,0.984162895927602,0.993212669683258,0.812217194570136,0.599547511312217,0.368778280542986,0.938914027149321,0.219457013574661
120,"Zapopan","7313",0.865751299336938,299,243,1.05351170568562,14.8,0.650205761316872,0.832775919732441,1.38,0.82,1,1,1,0.216494845360825,1,1,1,1,0.969072164948454,1,0.979381443298969
120,"Zapopan","7328",1.15503949944243,364,313,0.96978021978022,15,0.661341853035144,0.953296703296703,1.25,0.6,0.98,1,1,0.83,1,1,1,1,1,1,1
120,"Zapopan","7332",0.59535272115992,84,71,0.80952380952381,14.68,0.591549295774648,0.80952380952381,1.7,0.67,1,1,1,0.206896551724138,1,1,1,1,1,0.896551724137931,1
120,"Zapopan","7366",0.892868812814427,1170,1009,0.933333333333333,14.8,0.678889990089197,0.922222222222222,1.2,0.68,0.99546485260771,1,1,0.160997732426304,1,0.970521541950113,1,0.979591836734694,0.970521541950113,0.99546485260771,0.972789115646258
120,"Zapopan","7370",1.07328508451332,1966,1671,1.02594099694812,14.68,0.594254937163375,0.922177009155646,1.29,0.65,0.984,1,1,0.9056,0.9984,1,1,0.992,0.968,0.9824,0.9952
120,"Zapopan","7385",1.19108046014824,362,332,1.01657458563536,15.17,0.614457831325301,0.969613259668508,1.27,0.58,1,1,1,0.888888888888889,1,1,1,1,0.965811965811966,1,0.991452991452991
120,"Zapopan","739A",1.14297274534969,1540,1299,1.03831168831169,15.37,0.745188606620477,0.943506493506494,1.1,0.64,0.992994746059545,1,1,0.385288966725044,1,1,0.996497373029772,0.95446584938704,0.970227670753065,0.996497373029772,0.973730297723292
120,"Zapopan","7402",0.926273524009974,305,278,0.940983606557377,14.28,0.723021582733813,0.816393442622951,1.41,0.57,1,1,1,0.466101694915254,1,1,1,0.949152542372881,0.966101694915254,0.966101694915254,0.966101694915254
